#, Stílus, Előadó, Dal, Percentilis
0 , classical  , Janos Starker                   , Suite No.5 in C minor BWV 1011      ,  95
1 , classical  , Janos Starker                   , Suite No.4 in E flat major BWV 1010 ,  80
2 , classical  , The Chung Trio                  , Piano Trio No. 7 in B-Flat          ,  55
3 , classical  , Christophe Beck                 , Heimr Arnadalr                      ,  60
4 , classical  , RTV Slovenia Symphony Orchestra , Wiegenlied (Lullaby), K. 350        ,  75
5 , classical  , Janos Starker                   , Suite No.2 in D minor BWV 1008      ,  90
6 , classical  , Nicholas Hooper                 , Slughorn's Confession               ,  75
7 , classical  , Janos Starker                   , Suite No.5 in C minor BWV 1011      ,  65
8 , classical  , Janos Starker                   , Suite No.4 in E flat major BWV 1010 ,  65
9 , classical  , Christophe Beck                 , Life's Too Short (Reprise) (Outtake),  85
10,   metal    ,   ChthoniC                      ,  Drift Out to Mystery               ,   65
11, classical  , Alexandre Desplat               ,  Obliviate                          ,   90
12,  classical ,  Nicholas Hooper                ,  Another Story                      ,   85
13,  classical ,  Alexandre Desplat              ,  The resurrection stone             ,   90
14,  classical ,  John Williams                  ,  The Dueling Club                   ,   75
15,  classical ,  Christophe Beck                ,  Onward And Upward                  ,   65